"Entry","Official Website URL"
"embavenez_india","https://india.embajada.gob.ve/"
"embchinachile","https://chile.embchina.gob.cn/"
"embcolaustria","https://austria.embajada.gov.co/"
"embcolecuador","https://ecuador.embajada.gov.co/"
"embcolghana","https://ghana.embajada.gov.co/"
"embcolindia","https://india.embajada.gov.co/"
"embcolnl","https://paisesbajos.embajada.gov.co/"
"embcolombiaenarg","https://argentina.embajada.gov.co/"
"embcolombiaenrd","https://dominicana.embajada.gov.co/"
"embcolombiamex","https://mexico.embajada.gov.co/"
"embcolportugal","https://portugal.embajada.gov.co/"
"embcoltailandia","https://tailandia.embajada.gov.co/"
"emcoles","https://elsalvador.embajada.gov.co/"
"euintheus","https://www.eeas.europa.eu/delegations/united-states_en"
"francia_en_colombia","https://co.ambafrance.org/"
"indiaincolombia","https://www.eoibogota.gov.in/"
"irelandcolombia","https://www.dfa.ie/irish-embassy/colombia/"
"rdencolombia","https://republicadominicana.embajada.gov.co/"
"spainintheusa","https://es.usembassy.gov/"
"ueencolombia","https://www.eeas.europa.eu/delegations/colombia_en"
"uemexico","https://www.eeas.europa.eu/delegations/mexico_en"
"ukincolombia","https://www.gov.uk/world/organisations/british-embassy-bogota"
