"Entry","Official Website URL"
"alimentosdoria","https://www.alimentosdoria.com/"
"alimentosmunchy","https://www.munchy.com.ve/"
"bonobon_vzla","https://www.bonobon.com.ar/"
"bonyurt","https://www.bonyurt.com.co/"
"cafe.sellorojo","https://sellorojo.com.co/"
"cerealesmaizoritos","https://maizoritos.com/"
"chinottove","https://chinotto.com.ve/"
"chiskesitos","https://www.chiskesitos.com.ve/"
"chocolatecorona","https://www.chocolatecorona.com.co/"
"chocolatesjet","https://www.jet.com.co/"
"chocoramoficial","https://www.chocoramo.com.co/"
"cochibacon","https://www.cochibacon.com/"
"colcafe","https://www.colcafe.com.co/"
"danibiskoficialve","https://www.danibisk.com/"
"doritosvzla","https://www.doritos.com.ve/"
"elclubgastronomico","https://elclubgastronomico.com/"
"foodinbogota","https://foodinbogota.com/"
"goyurtcolombia","https://www.goyurt.com.co/"
"heinzcolombia","https://www.heinz.com.co/"
"holafood___","https://holafood.com/"
"koreaimportaciones","https://koreaimportaciones.com/"
"maggicolombia","https://www.maggi.com.co/"
"migurtve","https://www.migurt.com.ve/"
"mimedellinsaborea","https://www.medellinsaborea.com/"
"monaca.ve","https://www.monaca.com.ve/"
"nescafe_col","https://www.nescafe.com/co/"
"nescafeve","https://www.nescafe.com/ve/"
"nesteavzla","https://www.nestea.com.ve/"
"osole_foods","https://www.osolefoods.com/"
"papas.margarita","https://www.papasdemargarita.com.co/"
"adr_colombia","https://adr.gov.co/"
"aimexico","https://www.aimexico.org/"
"berlitzcolombia","https://www.berlitz.com.co/"
"berryhousecolombia","https://berryhousecolombia.com/"
"bicitour_medellin","https://bicitourmedellin.com/"
"bodegaschinas","https://www.bodegaschinas.com.co/"
"caliculturacol","https://calicultura.com/"
"carter.cote","https://cartercote.com/"
"crocscolombia_oficial","https://www.crocs.com.co/"
"cruzrojacol","https://www.cruzrojacolombiana.org/"
"dagmaoficial","https://www.cali.gov.co/dagma/"
"descubriendo.china","https://descubriendochina.com/"
"disneyplusla","https://www.disneyplus.com/es-419/"
"drogueriascafam","https://www.cafam.com.co/droguerias-cafam"
"eatbucaramanga","https://eatbucaramanga.com/"
"entrearbolescali","https://www.entrearbolescali.com/"
"escuelanavaldecadetes","https://www.escuelanaval.edu.co/"
"espeak.english","https://espeak.english.com/"
"fundacionlasgolondrinas","https://lasgolondrinas.org.co/"
