"Entry","YouTube Channel URL"
"bonyurt","https://www.youtube.com/@Bonyurt"
"chocolatecorona","https://www.youtube.com/@ChocolateCorona"
"chocoramoficial","https://www.youtube.com/@ChocoramoOficial"
"fritolay_col","https://www.youtube.com/@FritoLayColombia"
"gruponutresa","https://www.youtube.com/@GrupoNutresa"
"harina_pan","https://www.youtube.com/@HarinaPan"
"maggicolombia","https://www.youtube.com/@MaggiColombia"
"nescafe_col","https://www.youtube.com/@NescafeColombia"
"saltin_noel","https://www.youtube.com/@SaltinNoelColombia"
"supercoco_col","https://www.youtube.com/@SuperCocoColombia"
"yupi_colombia","https://www.youtube.com/@YupiColombia"
